Regime,Split,Defined_Start,Defined_End,Actual_Start,Actual_End,Rows
Bull_2021,Train,2021-01-01 00:00:00,2021-08-07 00:00:00,2021-01-01,2021-08-06 23:00:00,41800
Bull_2021,Validation,2021-08-07 00:00:00,2021-09-23 00:00:00,2021-08-07,2021-09-22 23:00:00,8992
Bull_2021,Test,2021-09-23 00:00:00,2021-11-10 00:00:00,2021-09-23,2021-11-09 23:00:00,9200
Bear_2022,Train,2021-11-10 00:00:00,2022-08-28 00:00:00,2021-11-10,2022-08-27 23:00:00,55872
Bear_2022,Validation,2022-08-28 00:00:00,2022-10-29 00:00:00,2022-08-28,2022-10-28 23:00:00,11904
Bear_2022,Test,2022-10-29 00:00:00,2023-01-01 00:00:00,2022-10-29,2022-12-31 23:00:00,12288
Side_2023,Train,2023-01-01 00:00:00,2023-08-01 00:00:00,2023-01-01,2023-07-31 23:00:00,40696
Side_2023,Validation,2023-08-01 00:00:00,2023-09-15 00:00:00,2023-08-01,2023-09-14 23:00:00,8640
Side_2023,Test,2023-09-15 00:00:00,2023-11-01 00:00:00,2023-09-15,2023-10-31 23:00:00,9024
Bull_2023_2025,Train,2023-11-01 00:00:00,2025-02-11 00:00:00,2023-11-01,2025-02-10 23:00:00,89856
Bull_2023_2025,Validation,2025-02-11 00:00:00,2025-05-22 00:00:00,2025-02-11,2025-05-21 23:00:00,19200
Bull_2023_2025,Test,2025-05-22 00:00:00,2025-09-01 00:00:00,2025-05-22,2025-08-31 23:00:00,19584
Bear_2025,Train,2025-09-01 00:00:00,2025-11-24 00:00:00,2025-09-01,2025-11-23 23:00:00,16128
Bear_2025,Validation,2025-11-24 00:00:00,2025-12-12 00:00:00,2025-11-24,2025-12-11 23:00:00,3456
Bear_2025,Test,2025-12-12 00:00:00,2026-01-01 00:00:00,2025-12-12,2025-12-31 00:00:00,3656
