symbol,from,to,gap
ADAUSDT,2021-02-11 03:00:00,2021-02-11 05:00:00,0 days 02:00:00
ADAUSDT,2021-03-06 01:00:00,2021-03-06 03:00:00,0 days 02:00:00
ADAUSDT,2021-04-20 01:00:00,2021-04-20 04:00:00,0 days 03:00:00
ADAUSDT,2021-04-25 04:00:00,2021-04-25 08:00:00,0 days 04:00:00
ADAUSDT,2021-08-13 01:00:00,2021-08-13 06:00:00,0 days 05:00:00
ADAUSDT,2021-09-29 06:00:00,2021-09-29 09:00:00,0 days 03:00:00
ADAUSDT,2023-03-24 12:00:00,2023-03-24 14:00:00,0 days 02:00:00
AVAXUSDT,2021-02-11 03:00:00,2021-02-11 05:00:00,0 days 02:00:00
AVAXUSDT,2021-03-06 01:00:00,2021-03-06 03:00:00,0 days 02:00:00
AVAXUSDT,2021-04-20 01:00:00,2021-04-20 04:00:00,0 days 03:00:00
AVAXUSDT,2021-04-25 04:00:00,2021-04-25 08:00:00,0 days 04:00:00
AVAXUSDT,2021-08-13 01:00:00,2021-08-13 06:00:00,0 days 05:00:00
AVAXUSDT,2021-09-29 06:00:00,2021-09-29 09:00:00,0 days 03:00:00
AVAXUSDT,2023-03-24 12:00:00,2023-03-24 14:00:00,0 days 02:00:00
BNBUSDT,2021-02-11 03:00:00,2021-02-11 05:00:00,0 days 02:00:00
BNBUSDT,2021-03-06 01:00:00,2021-03-06 03:00:00,0 days 02:00:00
BNBUSDT,2021-04-20 01:00:00,2021-04-20 04:00:00,0 days 03:00:00
BNBUSDT,2021-04-25 04:00:00,2021-04-25 08:00:00,0 days 04:00:00
BNBUSDT,2021-08-13 01:00:00,2021-08-13 06:00:00,0 days 05:00:00
BNBUSDT,2021-09-29 06:00:00,2021-09-29 09:00:00,0 days 03:00:00
BNBUSDT,2023-03-24 12:00:00,2023-03-24 14:00:00,0 days 02:00:00
BTCUSDT,2021-02-11 03:00:00,2021-02-11 05:00:00,0 days 02:00:00
BTCUSDT,2021-03-06 01:00:00,2021-03-06 03:00:00,0 days 02:00:00
BTCUSDT,2021-04-20 01:00:00,2021-04-20 04:00:00,0 days 03:00:00
BTCUSDT,2021-04-25 04:00:00,2021-04-25 08:00:00,0 days 04:00:00
BTCUSDT,2021-08-13 01:00:00,2021-08-13 06:00:00,0 days 05:00:00
BTCUSDT,2021-09-29 06:00:00,2021-09-29 09:00:00,0 days 03:00:00
BTCUSDT,2023-03-24 12:00:00,2023-03-24 14:00:00,0 days 02:00:00
DOGEUSDT,2021-02-11 03:00:00,2021-02-11 05:00:00,0 days 02:00:00
DOGEUSDT,2021-03-06 01:00:00,2021-03-06 03:00:00,0 days 02:00:00
DOGEUSDT,2021-04-20 01:00:00,2021-04-20 04:00:00,0 days 03:00:00
DOGEUSDT,2021-04-25 04:00:00,2021-04-25 08:00:00,0 days 04:00:00
DOGEUSDT,2021-08-13 01:00:00,2021-08-13 06:00:00,0 days 05:00:00
DOGEUSDT,2021-09-29 06:00:00,2021-09-29 09:00:00,0 days 03:00:00
DOGEUSDT,2023-03-24 12:00:00,2023-03-24 14:00:00,0 days 02:00:00
ETHUSDT,2021-02-11 03:00:00,2021-02-11 05:00:00,0 days 02:00:00
ETHUSDT,2021-03-06 01:00:00,2021-03-06 03:00:00,0 days 02:00:00
ETHUSDT,2021-04-20 01:00:00,2021-04-20 04:00:00,0 days 03:00:00
ETHUSDT,2021-04-25 04:00:00,2021-04-25 08:00:00,0 days 04:00:00
ETHUSDT,2021-08-13 01:00:00,2021-08-13 06:00:00,0 days 05:00:00
ETHUSDT,2021-09-29 06:00:00,2021-09-29 09:00:00,0 days 03:00:00
ETHUSDT,2023-03-24 12:00:00,2023-03-24 14:00:00,0 days 02:00:00
SOLUSDT,2021-02-11 03:00:00,2021-02-11 05:00:00,0 days 02:00:00
SOLUSDT,2021-03-06 01:00:00,2021-03-06 03:00:00,0 days 02:00:00
SOLUSDT,2021-04-20 01:00:00,2021-04-20 04:00:00,0 days 03:00:00
SOLUSDT,2021-04-25 04:00:00,2021-04-25 08:00:00,0 days 04:00:00
SOLUSDT,2021-08-13 01:00:00,2021-08-13 06:00:00,0 days 05:00:00
SOLUSDT,2021-09-29 06:00:00,2021-09-29 09:00:00,0 days 03:00:00
SOLUSDT,2023-03-24 12:00:00,2023-03-24 14:00:00,0 days 02:00:00
XRPUSDT,2021-02-11 03:00:00,2021-02-11 05:00:00,0 days 02:00:00
XRPUSDT,2021-03-06 01:00:00,2021-03-06 03:00:00,0 days 02:00:00
XRPUSDT,2021-04-20 01:00:00,2021-04-20 04:00:00,0 days 03:00:00
XRPUSDT,2021-04-25 04:00:00,2021-04-25 08:00:00,0 days 04:00:00
XRPUSDT,2021-08-13 01:00:00,2021-08-13 06:00:00,0 days 05:00:00
XRPUSDT,2021-09-29 06:00:00,2021-09-29 09:00:00,0 days 03:00:00
XRPUSDT,2023-03-24 12:00:00,2023-03-24 14:00:00,0 days 02:00:00
