Column,Data Type,Description,Unit
Open_time,datetime64[us],Candle open timestamp,datetime
Open,float64,Opening price,USDT
High,float64,Highest price in the interval,USDT
Low,float64,Lowest price in the interval,USDT
Close,float64,Closing price,USDT
Volume,float64,Traded volume in the interval,base asset units
Symbol,object,Trading pair symbol,categorical
RSI_14,float64,Relative Strength Index (14),0-100 (unitless)
MACD_12_26_9,float64,"MACD line (12, 26)",USDT
MACDh_12_26_9,float64,MACD histogram,USDT
MACDs_12_26_9,float64,MACD signal line (9),USDT
ATR_14,float64,Average True Range (14),USDT
OBV,float64,On-Balance Volume,base asset units (cumulative)
SMA_20,float64,Simple Moving Average (20),USDT
SMA_50,float64,Simple Moving Average (50),USDT
EMA_20,float64,Exponential Moving Average (20),USDT
EMA_50,float64,Exponential Moving Average (50),USDT
regime,object,Market regime label (Week2 definition),categorical
split,object,Train/val/test split label,categorical
