policy,fold,candidate,seed,total_timesteps,train_elapsed_sec,eval_elapsed_sec,gross_final_portfolio_value,net_final_portfolio_value,cost_rate,n_eval_rows,sharpe,sortino,calmar,mdd,vol,cagr,avg_turnover,total_cost,n_periods
transformer,fold1_search,candidate01,42,51200,2055.5,46.0,123613.09,122603.17,0.001,6887,0.7814763359979162,1.0547950128125902,0.941417569849586,-0.3143109218178919,0.47935310982054913,0.295897824194983,0.0011915969694147128,0.008206528328359127,6887
transformer,fold1_search,candidate01,43,51200,2055.6,46.2,123678.48,122649.27,0.001,6887,0.7979580632029496,1.0796053919322208,0.9749710597270171,-0.30412965614815135,0.45659788466913614,0.29651761314917646,0.001213243315830725,0.008355606716126203,6887
transformer,fold1_search,candidate01,44,51200,2042.8,46.0,125891.85,124826.39,0.001,6887,0.8403146432834876,1.1381892702254113,1.0991508252767832,-0.29646627901485323,0.46462563703070264,0.32586115524591297,0.0012341697319110938,0.008499726943671702,6887
transformer,fold1_search,candidate02,42,51200,5571.0,23.4,123355.03,122351.44,0.001,6887,0.7761474745084425,1.047149405268829,0.9290744946067883,-0.3148450158764161,0.4791765145926367,0.29251447400484754,0.0011861235967858775,0.008168833211064338,6887
transformer,fold1_search,candidate02,43,51200,1127.5,24.8,124058.71,123026.81,0.001,6887,0.8049140353379433,1.0895426368310388,0.989795965119258,-0.30470535441358343,0.4587179155847789,0.3015961303487984,0.0012132375875275074,0.008355567265301943,6887
transformer,fold1_search,candidate02,44,51200,1121.5,24.4,125835.82,124770.84,0.001,6887,0.8388874424584173,1.1367310777266446,1.0951253891262684,-0.29687078759743213,0.46488024786121657,0.3251107367878596,0.0012337044552152487,0.008496522583067417,6887
transformer,fold1_search,candidate03,42,51200,937.9,25.0,125408.4,124349.06,0.001,6887,0.8166526197278878,1.1051633718823972,1.03267846906829,-0.3093079243300508,0.4826427055518202,0.3194156337678473,0.0012323954394832307,0.008487507391721012,6887
transformer,fold1_search,candidate03,43,51200,941.7,23.8,123166.34,122158.87,0.001,6887,0.7851256564278596,1.0598137921796473,0.9970218095974194,-0.290793469469179,0.4589498532584542,0.2899274311492728,0.0011930788425111765,0.008216733988374473,6887
transformer,fold1_search,candidate03,44,51200,924.0,23.2,125441.98,124427.48,0.001,6887,0.8240359851632698,1.1152193296170603,1.050619858013998,-0.3050334228463542,0.4745433154033945,0.3204741714003605,0.0011793919339293541,0.008122472248971462,6887
transformer,fold1_search,candidate04,42,51200,636.4,21.9,129678.15,128572.48,0.001,6887,0.907268984714973,1.2327759761718098,1.246328440734949,-0.3022293860175433,0.47962132973705035,0.3766770794195258,0.0012437860433164244,0.008565954480320215,6887
transformer,fold1_search,candidate04,43,51200,662.0,22.9,127958.16,126886.67,0.001,6887,0.8751044274513455,1.1865992656817612,1.2222725057146204,-0.28942680822074707,0.4761597965667566,0.35375843010495744,0.0012213218801942777,0.008411243788897991,6887
transformer,fold1_search,candidate04,44,51200,660.5,22.4,123855.77,122835.65,0.001,6887,0.7943042031180666,1.073207621265304,0.9656786182057101,-0.30965185405275397,0.4675746709046897,0.29902417454649965,0.0012010043097222614,0.008271316681057215,6887
